name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
na radnici 4,49.3884225,16.1108242,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
středisko 2,49.3886756,16.1091572,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.41947,15.0435612,0.07372014224529266,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Unnamed POI,49.7846988,14.9978723,0.1124134510755539,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.4244595,15.0145767,0.0837516114115715,Modrá (Mírné znečištění),Jihlava,Unknown
Zatopený lom Trojka,49.6200989,15.4106411,0.11722571402788162,Modrá (Mírné znečištění),Jihlava,Unknown
Zatopený lom Trojka,49.6202709,15.4104494,0.11722571402788162,Modrá (Mírné znečištění),Jihlava,Unknown
Holý vrch,49.6222614,15.3978298,0.11066540330648422,Modrá (Mírné znečištění),Jihlava,Unknown
Rozhledna Babka,49.7586512,15.0990108,0.140074223279953,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.6168364,15.3926712,0.10897915810346603,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.3738896,16.1551196,0.10565008223056793,Modrá (Mírné znečištění),Jihlava,Unknown
Bohdanka (rozhledna),49.7840463,15.2283139,0.09039328247308731,Modrá (Mírné znečištění),Jihlava,Unknown
Melechov bývalá rozhledna,49.6438825,15.3184073,0.08801425248384476,Modrá (Mírné znečištění),Jihlava,Unknown
