name,lat,lon
Unnamed POI,50.7878,14.0277
Raškova vyhlídka,49.5836,18.1629
Šikmá věž,50.4629,15.2904
Pechova vyhlídka,50.4667,15.2868
Žaltman,50.5526,16.0521
Nad podkovou,49.6273,14.2022
Unnamed POI,49.6276,14.2036
Chebská stráž,50.0835,12.3416
Salingburg,50.1098,12.3601
Unnamed POI,50.0663,12.7466
Unnamed POI,50.0883,12.8387
Unnamed POI,48.8538,16.0456
Vyhlídka čtyř ročních období,48.8554,16.042
Unnamed POI,48.8556,16.0447
Radniční věž,49.9654,16.9705
Na Plazu,49.9385,13.6558
Unnamed POI,49.8324,15.6713
Dívčí kámen,49.8813,15.587
Homole,49.9443,14.3982
Pasecká skála,49.6156,16.0815
Tři kameny,50.105,17.0479
Unnamed POI,50.7656,14.5691
Unnamed POI,49.1651,13.6464
Unnamed POI,50.2739,17.1648
Unnamed POI,50.372,13.1796
vyhlídka Míru,50.4666,15.2912
vyhlídka Českého ráje,50.4667,15.2897
Hlaholská vyhlídka,50.467,15.2957
Všetečkova vyhlídka,50.4677,15.2906
Vyhlídka pražského pěveckého sboru Křížkovský,50.4664,15.2992
Horní můstek,49.3731,16.7293
Unnamed POI,49.9686,12.5015
Unnamed POI,50.6552,14.0399
Unnamed POI,49.1676,17.4933
Unnamed POI,50.7079,15.1643
Unnamed POI,50.5455,14.139
Unnamed POI,50.712,15.171
Unnamed POI,49.1695,17.5303
Unnamed POI,50.6287,14.0854
Vysoký Ostrý,50.6364,14.0802
Unnamed POI,50.8192,14.8241
Pozorovatelny,49.7626,13.9235
Pozorovatelny,49.7637,13.9265
Jindřichova skála,49.768,13.8818
Dopadová plocha,49.7256,13.8675
Unnamed POI,50.0321,16.4159
Čap,50.5547,14.4758
Unnamed POI,50.6034,14.4505
Smrtka,50.637,14.44
Ronov,50.6204,14.4147
Unnamed POI,50.7918,14.0381
Unnamed POI,50.0947,14.416
Unnamed POI,49.1349,13.6447
Unnamed POI,49.4032,18.0762
Unnamed POI,49.1286,16.7631
Vyhlídková věž Gustava Mahlera,49.3961,15.5861
Výří skála,49.3341,16.6472
Unnamed POI,50.0141,12.6335
Unnamed POI,50.6645,14.5071
Čertův stolek,49.714,15.7124
Unnamed POI,49.7143,15.7131
Unnamed POI,50.5575,14.0807
Unnamed POI,50.5578,14.0811
Železné schody,48.825,15.9674
Vrkoč,50.6309,14.0452
Unnamed POI,49.8759,16.2882
Na hřebínku,50.032,13.8626
Unnamed POI,50.0366,13.8748
Kleť rozhledna,48.8655,14.2833
Unnamed POI,49.5354,12.9384
Akátová věž,49.0418,16.639
Unnamed POI,50.6739,14.765
Unnamed POI,49.8335,15.6537
Unnamed POI,49.8341,15.6531
Alpská vyhlídka,49.0042,13.6931
Unnamed POI,48.8154,15.976
Unnamed POI,48.8544,16.0435
Unnamed POI,48.8542,16.0442
Unnamed POI,48.8546,16.0439
Unnamed POI,48.8544,16.045
Unnamed POI,50.0198,17.309
Unnamed POI,49.8374,17.2458
Unnamed POI,49.1985,17.1201
Králův stolec,48.8445,16.0035
Unnamed POI,48.8377,15.9994
Sealsfieldův kámen,48.8372,15.9982
Unnamed POI,48.838,15.9066
Unnamed POI,50.5601,14.2186
Unnamed POI,48.8569,16.0446
Unnamed POI,48.8569,16.0447
rotunda Sv. Kateřiny,48.855,16.0434
Karolínina brána,48.8542,16.0459
Unnamed POI,49.1814,16.5822
Unnamed POI,49.176,16.5859
Rozhledna Lhotka,49.0568,17.5882
Sněžnická vyhlídka,50.788,14.2332
"Panoramic view of the lake, Pruhonice",50.0003,14.5573
Unnamed POI,50.5923,14.2636
Unnamed POI,50.5834,15.4852
Chocholka,50.5862,15.469
rozhl. Vlčí hora,50.9397,14.4654
Unnamed POI,49.172,16.7213
Unnamed POI,49.1469,16.8141
Unnamed POI,48.8535,16.0463
Unnamed POI,49.5092,18.4069
Janova vyhlídka,50.5565,15.1734
Zámecká vyhlídka,50.5464,15.1932
Unnamed POI,50.5558,15.1735
Lohhauser,49.9344,12.5337
Panský Vrch,49.9352,12.6383
U Trojice,50.0375,13.8749
Unnamed POI,49.0414,16.8352
Unnamed POI,49.3802,17.7018
Unnamed POI,50.4204,16.1585
Sedlo,49.19,13.5693
Sedlo,49.1902,13.5691
Unnamed POI,49.0977,16.8965
Pod Janíkem,49.5462,18.1979
Unnamed POI,49.2165,16.8214
Unnamed POI,49.2155,16.8102
Unnamed POI,49.8999,14.2634
Jelenec,48.8605,17.703
Malá Skála,50.6193,14.0551
Hradiště,49.8113,13.6178
Unnamed POI,49.0275,16.8173
Unnamed POI,49.995,14.3443
Unnamed POI,49.0479,16.3199
Vyhlídková věž hradu Grabštejn,50.8462,14.8763
Unnamed POI,50.9225,14.6131
Vyhlídka Havránka,50.1199,14.4219
Unnamed POI,49.2287,16.6003
